,Accel_X(f),Accel_X(l),Accel_X(ri),Accel_y(f),Accel_y(l),Accel_y(ri),Accel_z(f),Accel_z(l),Accel_z(ri),Force,Gyro_x(f),Gyro_x(l),Gyro_x(ri),Gyro_y(f),Gyro_y(l),Gyro_y(ri),Gyro_z(f),Gyro_z(l),Gyro_z(ri),y
0,-11899.6890243902,-13045.5102040816,13158.423076923,2216.65853658536,2214.02040816326,8613.8173076923,-3744.19512195121,-5478.89795918367,5393.88461538461,768.0478,-306.701219512195,528.979591836734,-185.461538461538,-357.073170731707,520.454081632653,292.634615384615,-774.243902439024,-353.198979591836,71.6346153846153,1.0
1,-13941.3734939759,13941.6723163841,11340.1846153846,2508.96385542168,3471.977,8450.71794871795,-4122.24096385542,-3702.62146892655,6058.05128205128,694.23,-445.259036144578,128.033898305084,-251.358974358974,286.897590361445,-71.9830508474576,33.7743589743589,44.8132530120481,-65.3728813559322,375.030769230769,0.0
2,-12547.9629629629,-12859.9518072289,9107.57062146892,1361.23456790123,3837.46987951807,10053.5875706213,-6075.55555555555,-4204.14457831325,4318.9604519774,679.63,-77.1419753086419,-173.349,-161.090395480226,586.154320987654,-162.753012048192,221.638418079096,-224.5,-377.138554216867,281.627118644067,1.0
3,-12665.5902777777,-13697.44,11358.6600985221,816.166666666666,3567.47126436781,8585.25615763546,-7267.94444444444,-3454.57471264367,6005.71428571428,622.56,-266.388888888888,-581.21264367816,-229.142857142857,640.375,341.718390804597,88.6354679802955,150.4375,-130.810344827586,327.413793103448,1.0
4,-13931.2662721893,-15088.8372093023,11712.1224489795,1572.71005917159,3401.30232558139,8967.84183673469,-4480.82840236686,238.13953488372,6396.65306122449,524.82,-374.976331360946,75.2383720930232,-305.484693877551,-0.449704142011834,113.616279069767,35.188775510204,-418.846153846153,-109.709302325581,280.321428571428,1.0
5,-14985.3254437869,10308.4467005076,10389.9175257731,3444.42603550295,9420.28426395939,9333.73195876288,322.603550295858,8150.8426395939,8204.0206185567,466.65,89.1065088757396,-54.0862944162436,-60.1958762886598,62.4260355029585,76.1472081218274,71.7835051546391,-149.094674556213,193.609137055837,204.221649484536,0.0
6,-13906.9182389937,11288.08839779,7759.14,1280.90566037735,8957.88397790055,13427.48,-6577.61006289308,6662.49723756906,4477.08,662.701,-35.2955974842767,59.2486187845303,-14.29,296.327044025157,-139.651933701657,165.085,282.754716981132,51.1325966850828,-34.335,0.0
7,-14016.9467455621,-14350.0625,11303.5057471264,1475.6449704142,2229.70833333333,5739.63218390804,-4833.70414201183,4815.9375,-8057.72413793103,707.96,-81.8816568047337,-388.572916666666,-53.0919540229885,251.994082840236,367.229166666666,381.350574712643,-45.4319526627218,-382.322916666666,-198.649425287356,1.0
8,-12044.1149425287,-15166.7252747252,11878.095,-6771.49425287356,1928.32967032967,8641.42,10652.8275862068,4263.71428571428,3009.66,764.64,72.051724137931,-445.087912087912,-299.405,-300.701149425287,385.543956043956,210.705,-306.862068965517,-287.10989010989,-208.555,1.0
9,11828.6257309941,-15979.1685393258,258.830769230769,-1535.43859649122,2584.62921348314,14704.5897435897,-9273.07602339181,4658.11235955056,5404.67692307692,681.37,182.912280701754,-287.303370786516,-34.2358974358974,149.649122807017,59.8876404494382,20.851282051282,78.6959064327485,-48.6235955056179,-133.702564102564,1.0
10,-8276.71428571428,-12464.66,-1470.21052631578,-6467.30952380952,-5706.3,2997.8947368421,-8843.19047619047,11433.0,16866.3736842105,724.34,77.4464285714285,-186.185,-142.810526315789,-365.32738095238,480.945,27.1,-529.005952380952,87.415,-340.215789473684,1.0
11,-13941.759,-6391.51578947368,5026.27135678391,250.96385542168,12547.2631578947,4406.64406779661,4122.24096385542,1823.66315789473,-6349.60451977401,733.1,-443.259036144578,-734.942105263157,104.977401129943,286.897590361445,-199.015789473684,-40.3107344632768,44.8132530120481,-138.210526315789,-480.135593220339,1.0
12,-11899.6890243902,-7691.83333333333,5026.27135678391,2216.65853658536,4330.22988505747,12663.8391959799,-3744.19512195121,-9988.75862068965,4074.22613065326,674.33,-306.701219512195,-139.011494252873,-204.793969849246,-357.073170731707,-430.51724137931,49.2763819095477,-774.243902439024,-432.224137931034,-39.572864321608,1.0
13,-13045.5102040816,10308.4467005076,725.72,2214.02040816326,9420.28426395939,11303.5057471264,-5478.89795918367,8150.8426395939,6396.65306122449,691.91,528.979591836734,-54.0862944162436,-251.358974358974,520.454081632653,76.1472081218274,688.933333333333,-353.198979591836,193.609137055837,204.793969849246,0.0
14,-12621.8,-14184.17297,7628.218579,1564.114286,5269.837838,12438.125,-7027.314286,-2144.086486,6782.565217,878.235089333333,-252.914286,291.140541,213.559783,169.807143,510.918919,516.396739,-78.571429,177.491892,-77.836957,1.0
15,-14792.089385,-14293.15847,1363.756906,-1888.022346,-2025.180328,10989.022222,-2186.837989,-5141.530055,13409.422222,765.737755333333,-167.329609,-24.73224,-282.183333,117.27933,-46.234973,161.216667,-61.357542,-130.786885,21.455556,1.0
16,-8655.861272,-8655.861272,12519.348837,-3482.150289,-69.086705,9482.242775,-10901.618497,-9385.872832,5705.433526,807.674374,-102.075145,-94.780347,-94.473988,58.965318,116.387283,249.595376,-30.884393,-35.300578,-3.156069,1.0
17,-12277.80117,-10322.352941,-2907.082353,1243.181287,5050.752941,14823.552941,-7599.087719,-8078.023529,3389.811765,772.766082,-112.976608,-151.458824,-261.282353,164.701754,-395.752941,-108.270588,-151.54386,-382.264706,-270.194118,1.0
18,-11055.317647,-9377.297872,9639.213018,-1761.035294,5985.787234,10507.171598,-8555.623529,-7886.404255,-3450.414201,858.863560666666,97.658824,-246.271277,-106.455621,-77.735294,1034.547872,-209.39645,-343.152941,427.579787,36.331361,1.0
19,-15582.188235,-14964.633663,11799.724868,1550.588235,4505.821782,4043.724868,1434.352941,626.871287,-7734.962963,587.853925333333,-443.705882,-259.138614,121.645503,-407.658824,371.935644,232.174603,-400.364706,-37.346535,109.243386,1.0
20,4781.2,-3276.693333,1086.571429,6008.85,15468.16,13046.857143,-11050.95,4029.44,-5856.619048,825.452310333333,-138.25,-209.146667,-281.428571,-70.075,849.133333,37.142857,1224.0125,-324.44,156.77381,0.0
21,-8616.571429,-551.658537,8310.204082,4511.238095,5554.341463,13395.020408,-10080.857143,-11604.195122,1570.204082,830.450832333333,-119.571429,-563.0,-379.632653,-357.047619,326.792683,-102.959184,-364.714286,-1089.707317,455.673469,0.0
22,-11080.2,-9314.745098,6677.122807,8035.8,12699.960784,12500.350877,-5708.9,414.039216,9607.929825,934.627889333333,-152.55,-230.647059,-375.070175,-287.225,321.098039,-18.087719,-135.475,-217.558824,272.245614,0.0
23,-14829.188119,-9975.424837,13476.59375,4674.891089,7854.326797,-2250.78125,5098.891089,1638.640523,-6326.34375,597.096263666666,-67.950495,-674.941176,-203.351562,360.227723,626.529412,184.226562,-40.089109,-308.091503,76.15625,1.0
24,-9495.875,-3760.810811,6272.536585,10424.375,13721.175676,14295.268293,-4575.875,-4399.459459,3864.0,785.129575333333,-98.270833,43.405405,-588.560976,348.489583,155.986486,-377.926829,-174.364583,-927.554054,267.402439,0.0
25,-11731.393939,-2680.11215,2499.773585,4639.939394,13314.056075,13376.754717,-6140.727273,13314.056075,-1742.528302,735.049145,98.69697,-662.280374,-445.056604,-76.363636,489.411215,-333.150943,-567.863636,-145.953271,514.650943,0.0
26,-13254.808511,-4606.921986,12519.348837,4536.255319,9523.801418,10989.022222,-507.234043,5196.680851,16866.3736842105,687.408768333333,-797.829787,510.184397,-251.358974358974,378.595745,-43.567376,-107.959184,-685.510638,-136.560284,-77.836957,0.0
27,-13779.530864,-8145.297297,9846.231293,611.135802,10097.989189,12119.557823,-2347.802469,1591.848649,3467.455782,714.894168333333,-153.876543,-299.745946,-283.795918,-187.654321,-254.702703,-103.081633,-223.475309,-158.848649,145.312925,0.0
28,-13239.162791,-11443.530364,6330.25,4635.093023,5743.951417,11144.138889,-2494.372093,-2840.242915,9447.111111,797.856663333333,-348.151163,-12.546559,-464.333333,95.668605,158.748988,-202.756944,-114.744186,-239.380567,210.513889,0.0
29,-12409.130802,-14777.322034,9466.25,481.383966,5891.0,8447.466667,-5431.679325,2517.491525,10456.283333,670.113179666666,-152.130802,-183.457627,-261.866667,383.324895,290.813559,195.545833,126.763713,34.457627,33.670833,1.0
30,-11374.089552,-9954.304,15033.218884,3560.79602,5512.0,4055.536481,-8567.004975,-4165.696,1821.596567,749.215452666666,-195.875622,-431.744,22.609442,78.965174,297.34,124.592275,-211.58209,33.184,-86.93133,1.0
31,-13829.423077,-9617.44,-5135.960784,2535.461538,5294.56,8067.431373,-4221.576923,-1621.786667,-2457.490196,812.648966666666,-460.076923,45.473333,86.446078,-96.144231,221.493333,206.47549,-398.884615,-223.073333,235.495098,1.0
32,-13668.116505,-5930.191489,5159.816092,-579.300971,5393.744681,13340.597701,-4812.776699,-4978.93617,7103.37931,621.191367,-332.427184,-463.202128,-432.781609,150.495146,337.547872,-523.95977,-279.728155,583.574468,18.051724,1.0
33,-4988.79096,-6640.18251,4512.0,13171.096045,6341.247148,8378.039526,2461.536723,-5706.722433,-468.079051,640.848996666666,-237.762712,-165.692015,-293.379447,-7.372881,396.307985,-811.142857,-81.135593,-321.038023,187.365079,0.0
34,-15038.0,-14418.65979,10295.11602,3435.471264,2205.134021,9586.364641,161.4712644,4849.154639,7810.718232,513.9,89.88505747,-473.5,-129.5248619,119.8275862,341.4329897,-37.90607735,-79.5862069,-397.4587629,4.751381215,1.0
35,-13922.27848,-15194.85083,11293.54696,1271.518987,1912.287293,9048.690608,-6577.797468,4260.751381,6659.668508,653.34,-52.99367089,-377.0883978,-97.9281768,317.2151899,428.1933702,-169.5635359,281.8670886,-150.8342541,126.320442,1.0
36,-14046.71429,-15038.0,-15066.86705,1462.97619,3435.471264,3420.023121,-4811.571429,161.4712644,208.8786127,448.791,-89.89880952,89.88505747,78.30057803,263.5892857,119.8275862,116.3236994,-78.25595238,-79.5862069,-90.02312139,1.0
37,-8104.23431,-8002.943396,-358.817518,4306.32636,11363.109434,14187.649635,-584.485356,1794.822642,3678.656934,558.623780999999,-39.90795,-12.4,-145.266423,110.669456,-107.856604,372.594891,-275.640167,7.532075,96.054745,0.0
38,-9653.167382,-6477.348148,-1888.536797,6540.429185,6411.437037,11807.030303,89.819742,4595.748148,4350.095238,616.643483666666,-85.596567,155.777778,-80.580087,-7.708155,136.677778,52.536797,-210.012876,47.144444,-113.333333,1.0
